mcdi_wordendings_raw,gender,age,mcdi_wordendings_inter_ptile_within,mcdi_wordendings_inter_ptile_both
0,M,30,35,30
1,M,30,45,40
2,M,30,50,45
3,M,30,55,50
4,M,30,56.25,50.714
5,M,30,57.5,51.429
6,M,30,58.75,52.143
7,M,30,60,52.857
8,M,30,61,53.571
9,M,30,62,54.286
10,M,30,63,55
11,M,30,64,57.5
12,M,30,65,60
13,M,30,66.667,61.667
14,M,30,68.333,63.333
15,M,30,70,65
16,M,30,72.5,66.667
17,M,30,75,68.333
18,M,30,76.667,70
19,M,30,78.333,75
20,M,30,80,76.25
21,M,30,81.25,77.5
22,M,30,82.5,78.75
23,M,30,83.75,85
24,M,30,85,86.667
25,M,30,86.667,88.333
26,M,30,88.333,95
27,M,30,90,95.5
28,M,30,96.667,96
29,M,30,97.5,96.5
30,M,30,98.333,97
31,M,30,99.167,97.5
32,M,30,>99,98
33,M,30,>99,98.5
34,M,30,>99,99
35,M,30,>99,99.5
36,M,30,>99,>99
37,M,30,>99,>99
38,M,30,>99,>99
39,M,30,>99,>99
40,M,30,>99,>99
41,M,30,>99,>99
42,M,30,>99,>99
43,M,30,>99,>99
44,M,30,>99,>99
45,M,30,>99,>99
0,F,30,20,30
1,F,30,30,40
2,F,30,40,45
3,F,30,41.25,50
4,F,30,42.5,50.714
5,F,30,43.75,51.429
6,F,30,45,52.143
7,F,30,46,52.857
8,F,30,47,53.571
9,F,30,48,54.286
10,F,30,49,55
11,F,30,50,57.5
12,F,30,51.667,60
13,F,30,53.333,61.667
14,F,30,55,63.333
15,F,30,57.5,65
16,F,30,65,66.667
17,F,30,66.667,68.333
18,F,30,68.333,70
19,F,30,70,75
20,F,30,75,76.25
21,F,30,95,77.5
22,F,30,96.25,78.75
23,F,30,97.5,85
24,F,30,98.75,86.667
25,F,30,99,88.333
26,F,30,>99,95
27,F,30,>99,95.5
28,F,30,>99,96
29,F,30,>99,96.5
30,F,30,>99,97
31,F,30,>99,97.5
32,F,30,>99,98
33,F,30,>99,98.5
34,F,30,>99,99
35,F,30,>99,99.5
36,F,30,>99,>99
37,F,30,>99,>99
38,F,30,>99,>99
39,F,30,>99,>99
40,F,30,>99,>99
41,F,30,>99,>99
42,F,30,>99,>99
43,F,30,>99,>99
44,F,30,>99,>99
45,F,30,>99,>99
